                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     34,                 1.5881,                 1.5809,                 1.8144,                0.57733,                0.38742,                0.40194,                0.19367,                 1.8967,                 1.7493,                  2.192,             0.00025922,             0.00025922,             0.00025922
                     35,                 1.5462,                 1.5694,                  1.791,                0.60951,                0.36352,                0.37809,                0.17959,                 1.9254,                 1.7862,                 2.2342,             0.00025541,             0.00025541,             0.00025541
                     36,                 1.5408,                 1.5437,                  1.776,                0.66813,                0.34467,                0.37067,                 0.1817,                 1.8997,                 1.7462,                 2.2112,              0.0002516,              0.0002516,              0.0002516
                     37,                 1.5394,                 1.5374,                 1.7817,                0.74019,                0.32124,                0.39464,                0.18697,                  1.908,                 1.7657,                 2.2194,             0.00024779,             0.00024779,             0.00024779
                     38,                 1.5148,                 1.5027,                 1.7652,                0.52194,                 0.4284,                0.38707,                0.18421,                 1.9187,                  1.751,                 2.2298,             0.00024397,             0.00024397,             0.00024397
                     39,                 1.5242,                 1.5051,                 1.7607,                0.64972,                0.35761,                0.37193,                0.18244,                 1.9073,                 1.7319,                 2.2195,             0.00024016,             0.00024016,             0.00024016
                     40,                 1.5048,                 1.4943,                 1.7608,                0.64411,                0.34628,                0.37449,                0.18659,                 1.9055,                 1.7442,                 2.2171,             0.00023635,             0.00023635,             0.00023635
                     41,                 1.4998,                 1.4731,                 1.7448,                0.66302,                0.36423,                0.38817,                0.18766,                  1.914,                 1.7232,                 2.2495,             0.00023254,             0.00023254,             0.00023254
                     42,                 1.4837,                 1.4495,                 1.7292,                0.51725,                0.47794,                0.40447,                0.19081,                 1.9199,                 1.7043,                 2.2269,             0.00022873,             0.00022873,             0.00022873
                     43,                 1.4637,                 1.4105,                 1.7047,                0.70662,                0.37137,                0.41222,                0.20061,                 1.9134,                 1.6803,                 2.2213,             0.00022492,             0.00022492,             0.00022492
                     44,                  1.451,                 1.4012,                 1.7066,                0.53318,                0.40681,                0.39156,                0.19211,                 1.9303,                 1.7628,                 2.2284,             0.00022111,             0.00022111,             0.00022111
                     45,                 1.4358,                 1.3672,                 1.6929,                0.71981,                0.33084,                 0.4057,                0.19068,                 1.9394,                 1.6899,                  2.259,             0.00021729,             0.00021729,             0.00021729
                     46,                 1.4254,                 1.3485,                 1.6777,                0.49651,                0.40618,                 0.3909,                0.18594,                 1.9463,                 1.7548,                 2.2666,             0.00021348,             0.00021348,             0.00021348
                     47,                 1.4232,                 1.3522,                  1.679,                0.51713,                0.41686,                0.40543,                 0.1997,                 1.9399,                  1.703,                 2.2612,             0.00020967,             0.00020967,             0.00020967
                     48,                 1.4096,                 1.3491,                 1.6732,                0.62895,                0.38234,                0.39609,                0.19426,                 1.9332,                 1.7097,                 2.2468,             0.00020586,             0.00020586,             0.00020586
                     49,                 1.3994,                 1.3156,                 1.6548,                0.69337,                0.39564,                0.39985,                0.18997,                  1.957,                  1.748,                 2.2783,             0.00020205,             0.00020205,             0.00020205
                     50,                 1.3944,                 1.3208,                 1.6552,                0.66722,                0.36499,                0.40938,                0.19086,                 1.9386,                 1.6658,                  2.263,             0.00019824,             0.00019824,             0.00019824
                     51,                 1.3781,                  1.301,                 1.6537,                0.72613,                 0.3916,                0.42203,                0.20403,                 1.9659,                 1.6913,                 2.3007,             0.00019442,             0.00019442,             0.00019442
                     52,                 1.3732,                 1.2734,                 1.6378,                0.63486,                0.40416,                0.41945,                0.20114,                  1.939,                 1.6802,                 2.2825,             0.00019061,             0.00019061,             0.00019061
                     53,                 1.3539,                 1.2662,                 1.6271,                0.55201,                0.44455,                0.41462,                0.20433,                 1.9257,                  1.649,                 2.2554,              0.0001868,              0.0001868,              0.0001868
                     54,                 1.3411,                 1.2453,                  1.608,                0.58142,                0.42798,                0.42149,                0.20576,                 1.9414,                 1.6584,                 2.2747,             0.00018299,             0.00018299,             0.00018299
                     55,                 1.3464,                 1.2497,                 1.6127,                  0.573,                 0.3962,                0.40189,                0.19861,                 1.9398,                   1.67,                 2.2912,             0.00017918,             0.00017918,             0.00017918
                     56,                  1.331,                 1.2222,                 1.5981,                0.65575,                 0.4034,                0.41696,                0.20202,                 1.9344,                 1.6568,                 2.2689,             0.00017537,             0.00017537,             0.00017537
                     57,                 1.3243,                 1.2122,                 1.5897,                0.57412,                 0.4086,                0.40999,                0.20567,                 1.9309,                 1.6618,                 2.2749,             0.00017156,             0.00017156,             0.00017156
