                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                 1.3566,                 1.2642,                 1.8954,                0.87705,                0.83645,                 0.8541,                0.48244,                 1.5105,                 1.2075,                 2.3702,              0.0011059,              0.0011059,              0.0011059
                     36,                  1.345,                 1.3004,                 1.8919,                0.89869,                0.84112,                0.87952,                0.48928,                 1.4688,                 1.1685,                 2.3591,              0.0010894,              0.0010894,              0.0010894
                     37,                 1.3289,                 1.2691,                 1.8619,                0.85159,                0.84112,                0.86399,                0.51828,                 1.3779,                 1.1485,                 2.2565,              0.0010729,              0.0010729,              0.0010729
                     38,                 1.2989,                 1.2793,                 1.8711,                0.85581,                0.81308,                0.84058,                0.47814,                 1.4484,                 1.2549,                 2.3781,              0.0010564,              0.0010564,              0.0010564
                     39,                 1.3073,                 1.2232,                 1.8428,                0.83832,                0.80841,                0.86274,                0.50188,                  1.472,                  1.213,                 2.3641,              0.0010399,              0.0010399,              0.0010399
                     40,                 1.2872,                 1.2336,                 1.8333,                0.88977,                0.87383,                0.89877,                0.54033,                 1.3716,                 1.0593,                 2.2595,              0.0010234,              0.0010234,              0.0010234
                     41,                 1.2463,                 1.1694,                 1.8001,                0.89581,                0.84373,                0.89671,                0.54364,                 1.3366,                 1.1043,                  2.204,              0.0010069,              0.0010069,              0.0010069
                     42,                 1.2479,                 1.1759,                 1.7926,                0.88617,                0.82243,                0.88983,                0.55368,                 1.3061,                 1.1232,                 2.1719,             0.00099036,             0.00099036,             0.00099036
                     43,                 1.2537,                 1.1825,                 1.7957,                0.90185,                0.87383,                0.89951,                0.54509,                 1.3146,                 1.0094,                 2.2042,             0.00097386,             0.00097386,             0.00097386
                     44,                 1.2271,                 1.1428,                 1.7646,                 0.9204,                0.86452,                0.88616,                0.54116,                 1.4067,                 1.0258,                 2.3364,             0.00095736,             0.00095736,             0.00095736
                     45,                 1.2535,                 1.1603,                 1.7913,                0.91459,                 0.8271,                0.88073,                0.51517,                 1.4504,                 1.0349,                  2.358,             0.00094085,             0.00094085,             0.00094085
                     46,                 1.2536,                 1.1601,                 1.7853,                0.93049,                0.85047,                0.89502,                0.57244,                 1.2911,                   0.93,                 2.1731,             0.00092435,             0.00092435,             0.00092435
                     47,                 1.2223,                 1.1517,                  1.767,                0.92169,                0.84579,                0.89419,                0.55987,                 1.3069,                 1.0065,                 2.2144,             0.00090785,             0.00090785,             0.00090785
                     48,                 1.2128,                 1.1123,                 1.7705,                0.86365,                0.86916,                0.89927,                0.55238,                 1.3787,                 1.0347,                 2.2607,             0.00089134,             0.00089134,             0.00089134
                     49,                 1.2138,                 1.1123,                 1.7595,                0.91438,                0.84841,                0.90095,                0.56536,                 1.3006,                0.99022,                 2.1715,             0.00087484,             0.00087484,             0.00087484
                     50,                  1.226,                 1.1537,                 1.7769,                0.88289,                 0.8455,                0.88098,                 0.5524,                 1.3163,                0.97571,                 2.2126,             0.00085834,             0.00085834,             0.00085834
                     51,                 1.2536,                 1.1794,                 1.7954,                0.87911,                0.84953,                0.87641,                0.52002,                 1.3565,                 1.0399,                  2.244,             0.00084184,             0.00084184,             0.00084184
